Id,Category
321187,unrelated
321190,disagreed
321189,unrelated
321193,unrelated
321191,unrelated
321194,agreed
321192,unrelated
321197,unrelated
321195,unrelated
321199,agreed
321198,agreed
321201,agreed
321196,agreed
321200,unrelated
321203,unrelated
321202,agreed
321206,agreed
321204,agreed
321207,agreed
321208,agreed
321205,agreed
321209,agreed
321211,unrelated
321210,agreed
321214,agreed
321213,unrelated
321215,agreed
321212,agreed
321218,unrelated
321220,agreed
321216,agreed
321219,unrelated
321217,unrelated
321221,unrelated
321223,agreed
321225,agreed
321224,agreed
321222,unrelated
321226,agreed
321228,agreed
321227,agreed
321230,agreed
321232,agreed
321229,agreed
321231,agreed
321234,agreed
321233,unrelated
321235,agreed
321239,agreed
321237,agreed
321238,agreed
321242,agreed
321236,agreed
321240,unrelated
321241,agreed
321245,unrelated
321243,agreed
321244,agreed
321247,unrelated
321249,unrelated
321253,unrelated
321251,unrelated
321248,agreed
321246,unrelated
321250,agreed
321254,agreed
321252,unrelated
321257,agreed
321255,agreed
321258,agreed
321256,agreed
321260,agreed
321259,agreed
321261,agreed
321262,unrelated
321263,unrelated
321264,agreed
321267,agreed
321271,unrelated
321269,unrelated
321266,agreed
321265,unrelated
321270,agreed
321273,unrelated
321268,agreed
321272,unrelated
321274,agreed
321275,agreed
321276,unrelated
321277,unrelated
321279,unrelated
321278,unrelated
321280,agreed
321281,unrelated
321286,agreed
321285,unrelated
321282,agreed
321284,agreed
321288,unrelated
321283,unrelated
321287,agreed
321290,agreed
321289,agreed
321291,agreed
321293,agreed
321292,agreed
321294,unrelated
321297,unrelated
321296,disagreed
321295,agreed
321298,unrelated
321300,agreed
321299,agreed
321301,agreed
321305,unrelated
321302,agreed
321304,agreed
321307,agreed
321308,unrelated
321303,agreed
321309,unrelated
321311,unrelated
321310,unrelated
321314,agreed
321306,unrelated
321312,agreed
321313,agreed
321315,agreed
321317,agreed
321316,unrelated
321318,agreed
321319,agreed
321320,agreed
321323,agreed
321321,unrelated
321328,unrelated
321324,unrelated
321322,unrelated
321326,unrelated
321325,unrelated
321329,agreed
321327,agreed
321330,unrelated
321332,agreed
